"fire_scar","site","old.site","date","year","latitude_at_0m","longitude_at_0m","latitude_at_30m","longitude_at_30m","elevation","slope","aspect","transect_orientation","dNBR","severity","ground_severity","moisture_class","pre_fire_vegetation","site_notes","site_photo_start","site_photo_end"
"McDonald","McDo4",NA,"7/29/2025",2025,64.32172,-147.04355,64.32198,-147.04353,246,0,0,0,0.699959754943848,1,1,"subhygric","Black spruce low productivity high density with same larch present ","Site is a little off from the random point. Random point looked to be medium to high so we moved into a more lower severity area. On the north end of the site there is an unburned patch. Some standing water throughout site. Deep organic layer. Over 30cm in same places. Permafrost present around 70 cm. Very few spruce regen with some regen present. Mostly RHOGRO and salix.","eee103a6-c794-4ec5-b59d-5c1382805429","2ac73aa5-eb60-4666-9bbb-e5920ea5135e"
"McDonald","McDo5",NA,"7/29/2025",2025,64.32221,-147.05086,64.32247,-147.05087,243,0,0,358,0.49439001083374,1,1,"subhygric","Black spruce high density low productivity ","THERE IS A BEES NEST AT 19 M!! On left side heading from 0 to 30. Site was classified as medium severity, however we agreed it was low. Moved from the random point about 20 m to avoid live trees. Permafrost was present and shallow especially under burned moss. About 60 cm. Water logged site. Very deep organic layer. Lots of mossy patches that were lightly burned. Very little spruce regen. Both BETNAN and BETGLA present with some salix. ","b03af6f6-5a4d-4a2b-b238-a52c9e89937e","ce635053-594b-47c6-bd2f-1bc2fae17c70"
"McDonald","McDo6",NA,"7/29/2025",2025,64.32262,-147.04695,64.32254,-147.04709,202,0,0,354,0.640869319438934,2,2,"subhygric","Black spruce low productivity high density with some larch","Random point was under water with some live trees present. Moved point a few meters south and had 30 m end point closest to random point. Site had patchy burning with some mineral soil present. Permafrost was present and shallow. Think organic patches. Little spruce regen. Medium severity site surround by low severity to un burned areas.","908f15d3-f431-4cf5-b983-2ee26c054218","6a945483-cd90-4906-aa3a-f9d003cc68ab"
"Munson Creek","MuCr1",NA,"8/1/2024",2024,64.98873,-145.82089,NA,NA,370,3,323,323,0.512275457382202,2,2,"mesic-subhygric","Mid density, mid height black spruce, sphagnum and tussocks. Scattered alder and willow.","Heterogenous ground cover with some sphagnum and tussock regen. Patchy soil burning and mixed burning on trees. Transect set along slope to fit in burned area. Veg survey didn’t capture sphagnum tussock presence. Did a seedling count at 9 A B and C and a full veg quadrat at 0 to survey sphagnum. Few birch seedlings in area, captured 2. Understory ledum, grass, birch shrubs, tussocks. ","62f27b88-a85f-442d-be61-573c019a21da","29f6585b-d840-4525-8019-3d5d895ff428"
"Munson Creek","MuCr2",NA,"8/1/2024",2024,64.98698,-145.81917,NA,NA,405,26,349,82,0.648391962051392,3,2,"mesic","Tall, medium density black spruce, sphagnum","Unburned sphagnum patch (!) from 11-14m. Seems like there is a mosaic of often burned sphagnum patches and ground where the organic has burned away to bare rock. We sampled soil at 16 and measured at 19, and did veg in 13, 16, and 19 in order to pair with soil but also capture that sphagnum plug. Fairly deep organic, including burned moss. Very rocky below organic with limited mineral soil mixed with large rock. Stretches of transect have exposed rock. Ceratadon, polytrichum, fireweed and Vaccinium growing on burned patches, ledum and vacvit on unburned patch. Downed CWD highly burned, mixed severity of burn on trees. Consistent black spruce seedlings across transect with scattered birch seedlings","f3d0e279-55f0-4894-9c7f-23919eec0703","adc0171a-9a82-443f-9467-ac2a3ee257b6"
"Munson Creek","MuCr3",NA,"8/1/2024",2024,64.98544,-145.82373,NA,NA,363,7,334,30,0.398088335990906,1,1,"mesic-subhygric","Dense tiny black spruce, tussocks, some alder","Not many actually burned low severity sites in this area. Transect fit to just the available spot. Some birch 20m upslope. Grassy swale NE. Ground burned in patches, regrowth impressive. Trees have low signs of burning, though scorched. Little creek running underground near 0. Relatively few seedlings but consistent along transect. Wet soils, standing water at depth. Frozen ground. Lots of tussock regen. Variation in tree height, tho all small","493bdcca-f224-4dcb-a0dc-eea06deb9157","e6aae553-efe1-434c-8113-ad31fc1e58c8"
"Munson Creek","MuCr4",NA,"8/4/2024",2024,65.04213,-145.97568,NA,NA,474,26,57,155,0.684703886508942,3,2,"mesic-subxeric","Low density black spruce. Some willow and betula shrubs","Patches of burned sphagnum remaining, patchy soil burning with areas of relatively shallow organics. Organic mineral interface at this site is characterized by many small rocks mixed with the bottom of organic soil. Understory fireweed, ledum, birch shrub regen, grass, vaculi. Some spruce seedlings present. ","8f672145-df57-4bdf-b9cc-ca029c418864","4cd2aa4e-a09e-4b13-a967-4542398c7ee1"
"Munson Creek","Mucr5",NA,"8/4/2024",2024,65.04068,-145.97893,NA,NA,497,24,292,202,0.579725623130798,2,2,"mesic-subxeric","Mid density black spruce, a few birch","Mature birch trees in surrounding area and a few unburned black spruce downslope of transect. Thick organic soils remaining, lots of burned sphagnum hummocks remaining. On side of steep slope. Understory ledum, polygonum. Minimal seedlings. Trees pretty much all standing. ","cd3a8b36-593a-45e9-b596-c82ae9498f03,71793795-2fa8-498a-99ef-be8b8be6f46e","4370e96a-0a1f-4a08-8eac-fa62ff1e38e5"
"Nugget Creek","NuCr1",NA,"7/30/2024",2024,64.86044,-146.45973,NA,NA,501,3,113,113,0.610163152217865,2,2,"xeric","Dense tall black spruce, willow","Site at the top of the ridge. Lots of downed, lightly burned trees. Many seedlings of spruce, aspen, birch present. Polytrichum abundant. Soils rocky, below surface is a mixture of char, prefire organic, fine roots, and mineral/ash. Lots of willow resprouts. Difficult to distinguish whether trees were snags prefire. Transect not oriented north to south, slope here is along transect","7a2c1b60-0ead-4e00-991a-6f2ae071aa2f","886a8dfc-42a0-49c1-b735-d325e1d26390"
"Nugget Creek","NuCr2",NA,"7/30/2024",2024,64.85931,-146.45433,NA,NA,496,9,47,147,0.581643223762512,1,1,"subxeric","Large low density black spruce, sphagnum, mixed forests nearby","Most trees scorched but not heavily burned, lightly burned moss with some patches of unburned sphagnum. Very patchy heterogeneous site. Equisetum, ledum, willow, Rubus, Vaccinium understory. Patchy areas with high seedling regeneration of spruce and birch","bb009c44-3d8b-41f9-8b03-16d44a85d10d","427009d9-2318-4585-8f18-a34fc85547bf"
